Common Name,Scientific Name,Medicinal Properties,Known Hazards,Summary,user_need_tags,effect_tags,preparation_type,warning_level,recommendation_reason
Southernwood,Artemisia abrotanum - L.,Anthelmintic; Antiseptic; Cholagogue; Deobstruent; Emmenagogue; Stomachic; Tonic,"Although no reports of toxicity have been seen for this species, skin contact with some members of this genus can cause dermatitis or other allergic reactions in some people[222]. Safety during pregnancy is not known.",,"digestion,energy,focus,immune_support","anthelmintic, antiseptic, cholagogue, deobstruent, emmenagogue, stomachic, tonic", , , 
Field Southernwood,Artemisia campestris - L.,Abortifacient; Anthelmintic; Antiseptic; Cholagogue; Deobstruent; Eczema; Emmenagogue; Ophthalmic; Poultice; Stomachic; Tonic,"Although no reports of toxicity have been seen for this species, skin contact with some members of this genus can cause dermatitis or other allergic reactions in some people[222].","Common names include field wormwood, beach wormwood, northern wormwood, Breckland wormwood, boreal wormwood, Canadian wormwood, field sagewort and field mugwort.","digestion,energy,focus,immune_support,skin","abortifacient, anthelmintic, antiseptic, cholagogue, deobstruent, eczema, emmenagogue, ophthalmic, poultice, stomachic, tonic", , , 
"Russian Tarragon, Tarragon, French Tarragon",Artemisia dracunculoides - Pursh.,Antiscorbutic; Diuretic; Emmenagogue; Hypnotic; Stomachic,"Although no reports of toxicity have been seen for this species, skin contact with some members of this genus can cause dermatitis or other allergic reactions in some people[222].","Bloom Color: Yellow. Main Bloom Time: Late summer, Mid summer. Form: Upright or erect.","digestion,edema","antiscorbutic, diuretic, emmenagogue, hypnotic, stomachic", , , 
"Tarragon, French Tarragon",Artemisia dracunculus - L.,Antiscorbutic; Appetizer; Diuretic; Emmenagogue; Febrifuge; Hypnotic; Odontalgic; Stomachic; Vermifuge,"Although no reports of toxicity have been seen for this species, skin contact with some members of this genus can cause dermatitis or other allergic reactions in some people[222].","Artemisia dracunculus, commonly called wild tarragon, is a polymorphic species that is native to temperate Europe and Asia. It is also found in western North America, though many of these populations may have resulted from introduction and naturalization. 'Sativa' or Artemisia dracunculus var. sativa is commonly called French tarragon and is commonly used as a culinary herb. It is noted for the pungent anise-like flavor and aroma of its leaves. Also known as: Estragon, alse tarragon, green sagewort, silky wormwood, tarragon. Bloom Color: Yellow. Main Bloom Time: Late summer, Mid summer. Form: Upright or erect.","digestion,edema,pain","antiscorbutic, appetizer, diuretic, emmenagogue, febrifuge, hypnotic, odontalgic, stomachic, vermifuge", , , 
"Sand Sage, Sand sagebrush",Artemisia filifolia - Torr.,Carminative; Miscellany; Stomachic,"Although no reports of toxicity have been seen for this species, skin contact with some members of this genus can cause dermatitis or other allergic reactions in some people[222].","Common names include sand sagebrush, sand sage and sandhill sage, silvery wormwood.",digestion,"carminative, miscellany, stomachic", , , 
"Fringed Wormwood, Prairie sagewort",Artemisia frigida - Willd.,Antispasmodic; Deodorant; Disinfectant; Poultice; Stimulant; Stomachic; Vermifuge; Women's complaints,"Although no reports of toxicity have been seen for this species, skin contact with some members of this genus can cause dermatitis or other allergic reactions in some people[222].","Common names include: Fringed Wormwood, Prairie sagewort, fringed sagewort, fringed sagebrush, arctic sage and pasture sage.","digestion,energy,focus,skin","antispasmodic, deodorant, disinfectant, poultice, stimulant, stomachic, vermifuge, women's complaints", , , 
Glacier Wormwood,Artemisia glacialis - L.,Digestive; Expectorant; Sedative; Stomachic,"Although no reports of toxicity have been seen for this species, skin contact with some members of this genus can cause dermatitis or other allergic reactions in some people[222].",,"anxiety,digestion,relaxation,respiratory_support,sleep,stress","digestive, expectorant, sedative, stomachic", , , 
Sea Wormwood,Artemisia maritima - L.,Anthelmintic; Antiseptic; Antispasmodic; Carminative; Cholagogue; Emmenagogue; Febrifuge; Stimulant; Stomachic; Tonic; Vermifuge,"The following notes are from a report on the closely related A. absinthum, they quite possibly also apply to this species. The plant is poisonous if used in large quantities[20, 61]. Even small quantities have been known to cause nervous disorders, convulsions, insomnia etc[222]. Just the scent of the plant has been known to cause headaches and nervousness in some people[169].",,"digestion,energy,focus,immune_support","anthelmintic, antiseptic, antispasmodic, carminative, cholagogue, emmenagogue, febrifuge, stimulant, stomachic, tonic, vermifuge", , , 
"Wormwood, Tilesius' wormwood",Artemisia tilesii - Ledeb.,Analgesic; Antirheumatic; Antitumor; Disinfectant; Haemostatic; Laxative; Poultice; Skin; Stomachic; Tonic,"Although no reports of toxicity have been seen for this species, skin contact with some members of this genus can cause dermatitis or other allergic reactions in some people[222].",,"digestion,energy,focus,pain,skin","analgesic, antirheumatic, antitumor, disinfectant, haemostatic, laxative, poultice, skin, stomachic, tonic", , , 
"Goat's Beard, Bride's feathers",Aruncus dioicus - (Walter.)Fernald.,Antipyretic; Astringent; Birthing aid; Salve; Stings; Stomachic; VD,Cyanogenic glycosides are found in the leaves[74].,"Bloom Color: White. Main Bloom Time: Early summer, Mid summer. Form: Upright or erect.",digestion,"antipyretic, astringent, birthing aid, salve, stings, stomachic, vd", , , 
"Snake Root, Canadian wildginger, Canada Wild Ginger, Wild Ginger",Asarum canadense - L.,Anthelmintic; Antiasthmatic; Antibiotic; Antitumor; Carminative; Contraceptive; Diaphoretic; Diuretic; Expectorant; Irritant; Poultice; Salve; Stimulant; Stomachic; Tonic,The leaves are poisonous[19]. Handling the leaves is said to cause dermatitis in some people[269].,"Bloom Color: Brown, Purple. Main Bloom Time: Early spring, Mid spring. Form: Spreading or horizontal.","circulation,digestion,edema,energy,focus,immune_support,respiratory_support,skin","anthelmintic, antiasthmatic, antibiotic, antitumor, carminative, contraceptive, diaphoretic, diuretic, expectorant, irritant, poultice, salve, stimulant, stomachic, tonic", , , 
"Wild Ginger, British Columbia wildginger",Asarum caudatum - Lindl.,Analgesic; Antirheumatic; Appetizer; Laxative; Poultice; Stomachic; Tonic,"Although no reports of toxicity have been found for this plant, at least 3 other members of this genus have reports that the leaves are toxic[7, 19]. Some caution is therefore advised in the use of this plant.","Bloom Color: Red. Main Bloom Time: Mid spring. Form: Irregular or sprawling, Spreading or horizontal.","digestion,energy,focus,pain,skin","analgesic, antirheumatic, appetizer, laxative, poultice, stomachic, tonic", , , 
"Swamp Milkweed, Swamp Butterfly Weed, Marsh Milkweed",Asclepias incarnata - L.,Anthelmintic; Carminative; Diuretic; Emetic; Laxative; Stomachic,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274]. The leaves and the stems might be poisonous[20].","Common names include: rose milkweed, swamp milkweed, Swamp Butterfly Weed, and Marsh Milkweed. The plants have specialized roots for living in heavy wet soils. Some good edible, medicinal and other uses. Bloom Color: Pink, Purple. Main Bloom Time: Early fall, Late summer, Mid summer. Form: Upright or erect.","digestion,edema","anthelmintic, carminative, diuretic, emetic, laxative, stomachic", , , 
Dwarf Milkweed,Asclepias involucrata - Engelm.,Odontalgic; Stomachic,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274].",,"digestion,pain","odontalgic, stomachic", , , 
Showy Milkweed,Asclepias speciosa - Torr.,Antirheumatic; Antiseptic; Ophthalmic; Skin; Stomachic; VD; Warts,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274]. One report says that the plant is considered poisonous in large quantities by some native North American Indian tribes[257].","Asclepias speciosa or Showy Milkweed is a milky-sapped perennial plant with good edible uses. Flowers, leaves, the root, and seeds are all edible. It also has some medicinal and other uses.","digestion,immune_support,pain","antirheumatic, antiseptic, ophthalmic, skin, stomachic, vd, warts", , , 
Rush Milkweed,Asclepias subulata - Decne.,Emetic; Ophthalmic; Purgative; Stomachic,"Although no specific reports have been seen for this species, many, if not all, members of this genus contain toxic resinoids, alkaloids and cardiac glycosides[274]. They are usually avoided by grazing animals[274]. One report says that the plant is considered poisonous by some native North American Indian tribes[257].",,digestion,"emetic, ophthalmic, purgative, stomachic", , , 
Chinese Asparagus,Asparagus cochinchinensis - (Lour.)Merr.,Antibacterial; Antiinflammatory; Antipyretic; Antiseptic; Antitussive; Cancer; Diuretic; Expectorant; Infertility; Nervine; Sialagogue; Stomachic; Tonic,None known,,"anxiety,digestion,edema,energy,focus,immune_support,inflammatory,relaxation,respiratory_support,sleep,stress","antibacterial, antiinflammatory, antipyretic, antiseptic, antitussive, cancer, diuretic, expectorant, infertility, nervine, sialagogue, stomachic, tonic", , , 
Fern Asparagus,Asparagus filicinus - Buch.-Ham. ex D.Don.,Antipyretic; Antitussive; Diuretic; Expectorant; Nervine; Stomachic; Tonic,None known,,"anxiety,digestion,edema,energy,focus,relaxation,respiratory_support,sleep,stress","antipyretic, antitussive, diuretic, expectorant, nervine, stomachic, tonic", , , 
Japanese Atractylodes,Atractylodes japonica - Koidz. ex Kitam.,Antiemetic; Appetizer; Digestive; Diuretic; Expectorant; Hepatic; Hypoglycaemic; Stomachic; Tonic,None known,,"digestion,edema,energy,focus,respiratory_support","antiemetic, appetizer, digestive, diuretic, expectorant, hepatic, hypoglycaemic, stomachic, tonic", , , 
Cang Zhu,Atractylodes lancea - (Thunb.)DC.,Antidiarrhoeal; Antiemetic; Antirheumatic; Appetizer; Digestive; Diuretic; Expectorant; Stomachic; Tonic,None known,,"digestion,edema,energy,focus,pain,respiratory_support","antidiarrhoeal, antiemetic, antirheumatic, appetizer, digestive, diuretic, expectorant, stomachic, tonic", , , 
Bai Zhu,Atractylodes macrocephala - Koidz.,Antibacterial; Diuretic; Sedative; Stomachic; Tonic,None known,,"anxiety,digestion,edema,energy,focus,immune_support,relaxation,sleep,stress","antibacterial, diuretic, sedative, stomachic, tonic", , , 
"Silvery Orach, Silverscale saltbush, Stalked saltbush",Atriplex argentea - Nutt.,Analgesic; Poultice; Stings; Stomachic,"No member of this genus contains any toxins, all have more or less edible leaves. However, if grown with artificial fertilizers, they may concentrate harmful amounts of nitrates in their leaves.",,"digestion,pain,skin","analgesic, poultice, stings, stomachic", , , 
"Balsam Root, Hooker's balsamroot, Hairy balsamroot, Idaho balsamroot, Rabbithead balsamroot, Negle",Balsamorhiza hookeri - (Hook.)Nutt.,Stomachic; Women's complaints,None known,,digestion,"stomachic, women's complaints", , , 
Hoary Balsamroot,Balsamorhiza incana - Nutt.,Analgesic; Stomachic,None known,,"digestion,pain","analgesic, stomachic", , , 
"Oregon Sunflower, Arrowleaf balsamroot",Balsamorhiza sagittata - (Pursh.)Nutt.,Antirheumatic; Diaphoretic; Diuretic; Dysentery; Febrifuge; Odontalgic; Poultice; Skin; Stomachic; Vulnerary,None known,,"circulation,digestion,edema,pain,skin","antirheumatic, diaphoretic, diuretic, dysentery, febrifuge, odontalgic, poultice, skin, stomachic, vulnerary", , , 
"Leopard Lily, Blackberry lily, Leopard Flower",Belamcanda chinensis - (L.)DC.,Abortifacient; Analgesic; Antibacterial; Antidote; Antifungal; Antiinflammatory; Depurative; Expectorant; Febrifuge; Hepatic; Pectoral; Purgative; Stomachic; Tonic,The plant is slightly toxic[147].,"Bloom Color: Orange, Yellow. Main Bloom Time: Late summer, Mid summer. Form: Upright or erect.","digestion,energy,focus,immune_support,inflammatory,pain,respiratory_support","abortifacient, analgesic, antibacterial, antidote, antifungal, antiinflammatory, depurative, expectorant, febrifuge, hepatic, pectoral, purgative, stomachic, tonic", , , 
"European Barberry, Common barberry",Berberis vulgaris - L.,Antibacterial; Antidiarrhoeal; Antipruritic; Antirheumatic; Antiseptic; Antispasmodic; Appetizer; Astringent; Cancer; Cholagogue; Diaphoretic; Diuretic; Dysentery; Expectorant; Hepatic; Homeopathy; Laxative; Malaria; Ophthalmic; Purgative; Refrigerant; Stomachic; TB; Tonic; Vitamin C,"Bark in doses of 4 mg or more; stupor, nosebleeds, vomiting, diarrhoea and kidney irritation. Contraindicated during pregnancy as abortion risk[301].",,"circulation,digestion,edema,energy,focus,immune_support,pain,respiratory_support","antibacterial, antidiarrhoeal, antipruritic, antirheumatic, antiseptic, antispasmodic, appetizer, astringent, cancer, cholagogue, diaphoretic, diuretic, dysentery, expectorant, hepatic, homeopathy, laxative, malaria, ophthalmic, purgative, refrigerant, stomachic, tb, tonic, vitamin c", , , 
Beetroot,Beta vulgaris craca - Alef.,Antitumor; Carminative; Emmenagogue; Haemostatic; Stomachic; Tonic,None known,,"digestion,energy,focus","antitumor, carminative, emmenagogue, haemostatic, stomachic, tonic", , , 
Dwarf Birch,Betula nana - L.,Antirheumatic; Antiseborrheic; Astringent; Lithontripic; Miscellany; Salve; Sedative; Stomachic,None known,,"anxiety,digestion,pain,relaxation,sleep,stress","antirheumatic, antiseborrheic, astringent, lithontripic, miscellany, salve, sedative, stomachic", , , 
"River Birch, Black Birch, Red Birch, Water Birch, River Birch",Betula nigra - L.,Antiseborrheic; Diuretic; Dysentery; Salve; Stomachic; Urinary,The aromatic and aliphatic hydrocarbons in birch tar are irritating to the skin. Do not use in patients with oedema or with poor kidney or heart functions [301],"Bloom Color: Brown. Main Bloom Time: Early spring, Early winter, Late spring, Late winter, Mid spring, Mid winter. Form: Oval, Pyramidal, Upright or erect.","digestion,edema","antiseborrheic, diuretic, dysentery, salve, stomachic, urinary", , , 
"Hard Fern, Deer fern",Blechnum spicant - (L.)Roth.,Astringent; Cancer; Skin; Stomachic,"Although we have found no reports of toxicity for this species, a number of ferns contain carcinogens so some caution is advisable[200]. Many ferns also contain thiaminase, an enzyme that robs the body of its vitamin B complex. In small quantities this enzyme will do no harm to people eating an adequate diet that is rich in vitamin B, though large quantities can cause severe health problems. The enzyme is destroyed by heat or thorough drying, so cooking the plant will remove the thiaminase[172].",,digestion,"astringent, cancer, skin, stomachic", , , 
"Tar Vine, Red spiderling",Boerhavia diffusa - L.,Antidote; Diuretic; Dysentery; Emetic; Expectorant; Laxative; Stomachic,None known,"Spreading Hogweed or Boerhavia diffusa is a flowering plant used in Ayurveda. It is herbaceous and perennial. It grows up 70cm high and spreads up to 200 cm wide. It has slender, creeping and twinning stems. It is found throughout Asia, India, the Pacific, and southern United States. Its small, very sticky fruits that latch on to small migratory birds are considered to be of main factor for the wide dispersal of this species. It is used in traditional medicine as bitter, diaphoretic, diuretic, emetic, expectorant, laxative and stomachic. It is also used as against snake bite and decoction of leaves is used against jaundice. Aborigines eat the roots of B. diffusa. Leaves and seeds are edible as well when cooked. The plant is drought and frost tolerant and can be grown from seed sowing. Other common names are red spiderling, wineflower, punarnava, and tarvine.","digestion,edema,respiratory_support","antidote, diuretic, dysentery, emetic, expectorant, laxative, stomachic", , , 
"Wild Cabbage, Broccoli, Tronchuda cabbage, Brussels sprouts, Kohlrabi, Sprouting broccoli",Brassica oleracea - L.,Anthelmintic; Cardiotonic; Diuretic; Laxative; Stomachic,None known,,"digestion,edema,energy,focus","anthelmintic, cardiotonic, diuretic, laxative, stomachic", , , 
Paper Mulberry,Broussonetia papyrifera - (L.) L'Hér. ex Vent.,Astringent; Diaphoretic; Diuretic; Dysentery; Galactogogue; Haemostatic; Laxative; Ophthalmic; Skin; Stimulant; Stomachic; Tonic; Vulnerary,None known,"A medium to large deciduous tree with a round and spreading crown. It is a hardy, fast-growing tree that can be invasive. Some good edible, medicinal and other uses. Bloom Color: Yellow. Main Bloom Time: Early spring, Late spring, Mid spring.","circulation,digestion,edema,energy,focus,skin","astringent, diaphoretic, diuretic, dysentery, galactogogue, haemostatic, laxative, ophthalmic, skin, stimulant, stomachic, tonic, vulnerary", , , 
Lesser Calamint,Calamintha nepeta - (L.)Savi.,Aromatic; Diaphoretic; Expectorant; Febrifuge; Stomachic,None known,,"circulation,digestion,respiratory_support","aromatic, diaphoretic, expectorant, febrifuge, stomachic", , , 
"Calamint, Woodland calamint",Calamintha sylvatica - Bromf.,Aromatic; Diaphoretic; Expectorant; Stomachic,None known,,"circulation,digestion,respiratory_support","aromatic, diaphoretic, expectorant, stomachic", , , 
"Incense Cedar, California Incense Cedar",Calocedrus decurrens - (Torr.)Florin.,Miscellany; Stomachic,None known,"Bloom Color: Unknown. Main Bloom Time: Early spring, Late spring, Mid spring. Form: Columnar, Pyramidal.",digestion,"miscellany, stomachic", , , 
"Californian Allspice, Western sweetshrub",Calycanthus occidentalis - Hook.&Arn.,Expectorant; Stomachic,"Calycanthus contains calycanthine, an alkaloid similar to strychnine, and it is toxic to humans and livestock[270].",,"digestion,respiratory_support","expectorant, stomachic", , , 
"Tabasco Pepper, Cayenne pepper",Capsicum frutescens - L.,Anaesthetic; Antihaemorrhoidal; Antirheumatic; Antiseptic; Carminative; Diaphoretic; Digestive; Irritant; Rubefacient; Sialagogue; Stimulant; Stomachic; Vitamin C,"Although no reports have been seen for this species, many plants in this family produce toxins in their leaves. The sap of the plant can cause the skin to blister[200]. Avoid in patients taking monoamine oxidase inhibitor antidepressants and antihypertensive drugs [301].",,"circulation,digestion,energy,focus,immune_support,pain,skin","anaesthetic, antihaemorrhoidal, antirheumatic, antiseptic, carminative, diaphoretic, digestive, irritant, rubefacient, sialagogue, stimulant, stomachic, vitamin c", , , 
"Heart Seed, Balloon vine",Cardiospermum halicacabum - L.,Diaphoretic; Diuretic; Emetic; Emmenagogue; Laxative; Refrigerant; Rubefacient; Stomachic,None known,,"circulation,digestion,edema,skin","diaphoretic, diuretic, emetic, emmenagogue, laxative, refrigerant, rubefacient, stomachic", , , 
Chinese Chestnut,Castanea mollissima - Blume.,Antidote; Astringent; Dysentery; Stomachic,None known,"Bloom Color: White, Yellow. Main Bloom Time: Early summer, Late summer, Mid summer. Form: Rounded.",digestion,"antidote, astringent, dysentery, stomachic", , , 
"Nettle Tree, European hackberry",Celtis australis - L.,Astringent; Dysentery; Lenitive; Stomachic,None known,,digestion,"astringent, dysentery, lenitive, stomachic", , , 
"Paloblanco, Netleaf hackberry",Celtis reticulata - Torr.,Stomachic,None known,,digestion,stomachic, , , 
Brown Knapweed,Centaurea jacea - L.,Bitter; Diuretic; Ophthalmic; Stomachic; Tonic,None known,,"digestion,edema,energy,focus","bitter, diuretic, ophthalmic, stomachic, tonic", , , 
"Centaury - Feverwort, European centaury",Centaurium erythraea - Rafn.,Appetizer; Aromatic; Bach; Bitter; Cholagogue; Diaphoretic; Digestive; Emetic; Febrifuge; Hepatic; Homeopathy; Poultice; Stomachic; Tonic,May cause mild abdominal discomfort and cramps. Contraindicated in patients with peptic ulcers. Safety during pregnancy and lactation has not been established [301].,,"circulation,digestion,energy,focus,skin","appetizer, aromatic, bach, bitter, cholagogue, diaphoretic, digestive, emetic, febrifuge, hepatic, homeopathy, poultice, stomachic, tonic", , , 
Spiked centaury,Centaurium spicatum - (L.)Fritsch.,Dysentery; Stomachic,None known,,digestion,"dysentery, stomachic", , , 
"Mountain Mahogany, Curl-leaf mountain mahogany",Cercocarpus ledifolius - Nutt. ex Torr.&A.Gray.,Cardiac; Haemostatic; Poultice; Stomachic; TB; Tonic; VD,None known,,"digestion,energy,focus,heart_support,skin","cardiac, haemostatic, poultice, stomachic, tb, tonic, vd", , , 
"Mountain Mahogany, Alderleaf mountain mahogany, Silver mountain mahogany, Island mountain mahogany,",Cercocarpus montanus - Raf.,Laxative; Stomachic; Tonic,None known,"Main Bloom Time: Early summer, Early spring, Late summer, Late spring, Mid summer, Mid spring. Form: Oval, Upright or erect.","digestion,energy,focus","laxative, stomachic, tonic", , , 
"Morning Brides, Douglas' dustymaiden, Alpine dustymaiden",Chaenactis douglasii - (Hook.)Hook.&Arn.,Cardiac; Poultice; Stomachic,None known,,"digestion,heart_support,skin","cardiac, poultice, stomachic", , , 
"Chamomile, Roman chamomile",Chamaemelum nobile - (L.)All.,Anodyne; Antianxiety; Antiinflammatory; Antispasmodic; Aromatherapy; Nervine; Stomachic; Tonic; Vasodilator,"Patients with severe allergic responses to ragweed (ragwort) should be warned about the possible cross-sensitivity to chamomile and other members of the Asteraceae/Compositae family (e.g. echinacea, feverfew, milk thistle).",,"anxiety,circulation,digestion,energy,focus,heart_support,inflammatory,pain,relaxation,sleep,stress","anodyne, antianxiety, antiinflammatory, antispasmodic, aromatherapy, nervine, stomachic, tonic, vasodilator", , , 
